LEMMA	MSD	INF_G,iscrtati	V;PRS;NOM(3;SG)	iscrtam
iscrtati	V;PRS;NOM(3;SG)	iscrtam,šikljati	V;PRS;NOM(3;SG)	šikljam
šikljati	V;PRS;NOM(3;SG)	šikljam,izredati	V;PRS;NOM(3;SG)	izredam
izredati	V;PRS;NOM(3;SG)	izredam,ojačati	V;PRS;NOM(3;SG)	ojačam
ojačati	V;PRS;NOM(3;SG)	ojačam,vulgarizirati	V;PRS;NOM(3;SG)	vulgariziram
vulgarizirati	V;PRS;NOM(3;SG)	vulgariziram,raskrinkati	V;PRS;NOM(3;SG)	raskrinkam
raskrinkati	V;PRS;NOM(3;SG)	raskrinkam,preneražavati	V;PRS;NOM(3;SG)	preneražavam
preneražavati	V;PRS;NOM(3;SG)	preneražavam,prodati	V;PRS;NOM(3;SG)	prodam
prodati	V;PRS;NOM(3;SG)	prodam,dremuckati	V;PRS;NOM(3;SG)	dremuckam
dremuckati	V;PRS;NOM(3;SG)	dremuckam,skicirati	V;PRS;NOM(3;SG)	skiciram
skicirati	V;PRS;NOM(3;SG)	skiciram,gluparati	V;PRS;NOM(3;SG)	gluparam
gluparati	V;PRS;NOM(3;SG)	gluparam,parati	V;PRS;NOM(3;SG)	param
parati	V;PRS;NOM(3;SG)	param,događati	V;PRS;NOM(3;SG)	događam
događati	V;PRS;NOM(3;SG)	događam,pridodati	V;PRS;NOM(3;SG)	pridodam
pridodati	V;PRS;NOM(3;SG)	pridodam,natrpati	V;PRS;NOM(3;SG)	natrpam
natrpati	V;PRS;NOM(3;SG)	natrpam,istjerati	V;PRS;NOM(3;SG)	istjeram
istjerati	V;PRS;NOM(3;SG)	istjeram,habati	V;PRS;NOM(3;SG)	habam
habati	V;PRS;NOM(3;SG)	habam,patentirati	V;PRS;NOM(3;SG)	patentiram
patentirati	V;PRS;NOM(3;SG)	patentiram,slušati	V;PRS;NOM(3;SG)	slušam
slušati	V;PRS;NOM(3;SG)	slušam,etiketirati	V;PRS;NOM(3;SG)	etiketiram
etiketirati	V;PRS;NOM(3;SG)	etiketiram,klistirati	V;PRS;NOM(3;SG)	klistiram
klistirati	V;PRS;NOM(3;SG)	klistiram,nadvladati	V;PRS;NOM(3;SG)	nadvladam
nadvladati	V;PRS;NOM(3;SG)	nadvladam,iskušati	V;PRS;NOM(3;SG)	iskušam
iskušati	V;PRS;NOM(3;SG)	iskušam,šutirati	V;PRS;NOM(3;SG)	šutiram
